DISTRICT,NEW_RATING
CO HD-27,LEAN D
CO SD-25,TILT D
KS HD-02,TILT R
KS HD-23,LIKELY D
KS HD-26,LEAN R
KS HD-40,TOSS-UP
KS HD-69,TILT R
KS SD-18,TILT D
KS SD-21,LIKELY D
KY HD-13,TOSS-UP
KY HD-70,TOSS-UP
KY HD-81,TOSS-UP
KY SD-07,TILT D
MI HD-45,TILT R
MI HD-98,TILT R
MI HD-104,TILT D
MN HD-26B,LEAN R
MN HD-37B,TILT D
MN HD-38B,LEAN D
MN HD-39B,LEAN D
MN HD-47B,TOSS-UP
MN HD-54B,TOSS-UP
MN SD-05,TILT R
MN SD-26,TILT R
MN SD-36,SAFE D
MN SD-37,LIKELY D
MN SD-48,LIKELY D
NC HD-12,LIKELY R
NC HD-43,TILT D
NC HD-93,LEAN D
NC HD-113,LIKELY R
TN HD-13,LIKELY D
TN HD-67,LIKELY D
TN HD-83,LEAN R
TN HD-96,SAFE D
RI SD-35,LIKELY D
WI HD-23,TILT D
WI HD-82,LIKELY R
WI HD-92,LEAN R
CO HD-22,LIKELY R
KS HD-40,TILT D
MN HD-21A,SAFE R
RI HD-30,TILT D
RI SD-17,TILT R
